"table_1._value_of_construction_put_in_place_in_the_united_states,_seasonally_adjusted_annual_rate",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8
(Millions of dollars. Details may not add to totals due to rounding.),0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,"Percent change
Apr 2024 from -",0
"            Type of Construction
","Apr
2024p","Mar
2024r","Feb
2024r","Jan
2024","Dec
2023","Apr
2023","Mar
2024","Apr
2023"
0,0,0,0,0,0,0,0,0
Total Construction,2099039,2101511,2105541,2087508,2101042,1907837,-0.1,10
0,0,0,0,0,0,0,0,0
Residential,902292,901438,905271,896902,904743,834713,0.1,8.1
0,0,0,0,0,0,0,0,0
Nonresidential,1196747,1200074,1200270,1190606,1196299,1073124,-0.3,11.5
    Lodging,22508,22871,23653,23225,23950,22988,-1.6,-2.1
    Office,101641,101361,101845,101178,101929,96482,0.3,5.3
    Commercial,128646,130084,131573,131335,135828,128809,-1.1,-0.1
    Health care ,66504,68122,68289,68529,67729,62128,-2.4,7
    Educational,128656,129620,129105,128163,128747,110685,-0.7,16.2
    Religious,3946,4089,4159,4154,4052,3021,-3.5,30.6
    Public safety,17800,17860,17570,16808,15698,11946,-0.3,49
    Amusement and recreation,36135,36353,36233,35384,35003,31258,-0.6,15.6
    Transportation,66412,66087,66119,65979,64578,62841,0.5,5.7
    Communication,25383,25588,25490,25510,25398,24540,-0.8,3.4
    Power,135650,135540,136563,133301,135200,118185,0.1,14.8
    Highway and street ,150551,151444,148237,149731,153886,129324,-0.6,16.4
    Sewage and waste disposal ,42167,42726,43145,43164,43419,38848,-1.3,8.5
    Water supply ,30820,30678,30190,29243,29789,25208,0.5,22.3
    Conservation and development ,11487,11256,11203,11714,11815,12044,2.1,-4.6
    Manufacturing,228441,226396,226897,223188,219279,194818,0.9,17.3
0,0,0,0,0,0,0,0,0
Total Private Construction1,1611908,1613342,1622577,1606039,1617569,1490594,-0.1,8.1
0,0,0,0,0,0,0,0,0
Residential2,890438,889546,893537,885153,893440,824707,0.1,8
    New single family,439185,438885,438619,431511,429176,364887,0.1,20.4
    New multifamily ,132053,132445,132772,132546,134457,129034,-0.3,2.3
0,0,0,0,0,0,0,0,0
Nonresidential,721470,723796,729040,720886,724130,665887,-0.3,8.3
    Lodging,21833,22199,23001,22652,23451,22615,-1.6,-3.5
    Office,86031,85724,85932,85407,85593,82368,0.4,4.4
    Commercial,123921,125352,126939,126678,131010,123891,-1.1,0
    Health care,52895,54451,54914,54658,54164,49396,-2.9,7.1
    Educational,25204,25999,25957,25452,25326,22150,-3.1,13.8
    Religious,3946,4089,4159,4154,4052,3021,-3.5,30.6
    Amusement and recreation ,16943,17107,17043,16836,16879,15230,-1,11.2
    Transportation,19985,19881,19768,19671,19685,19029,0.5,5
    Communication,24850,25012,24936,25033,24859,24211,-0.6,2.6
    Power,113972,113845,115071,113342,115524,106094,0.1,7.4
    Manufacturing ,227614,225534,226259,222549,218876,194403,0.9,17.1
0,0,0,0,0,0,0,0,0
Total Public Construction3,487131,488169,482964,481469,483472,417243,-0.2,16.7
0,0,0,0,0,0,0,0,0
Residential,11854,11892,11734,11749,11303,10005,-0.3,18.5
0,0,0,0,0,0,0,0,0
Nonresidential,475277,476278,471231,469720,472169,407238,-0.2,16.7
    Office,15611,15636,15913,15771,16335,14114,-0.2,10.6
    Commercial,4726,4732,4634,4657,4818,4918,-0.1,-3.9
    Health care,13609,13671,13375,13871,13565,12732,-0.5,6.9
    Educational,103452,103621,103148,102711,103421,88535,-0.2,16.8
    Public safety,17636,17647,17325,16588,15460,11693,-0.1,50.8
    Amusement and recreation,19192,19246,19190,18549,18124,16028,-0.3,19.7
    Transportation,46427,46206,46351,46308,44893,43812,0.5,6
    Power,21678,21695,21492,19959,19676,12091,-0.1,79.3
    Highway and street,149578,150369,147118,148712,152778,128495,-0.5,16.4
    Sewage and waste disposal ,40577,40841,40990,40857,41277,37320,-0.6,8.7
    Water supply,29458,29318,28738,28348,28607,24381,0.5,20.8
    Conservation and development,11300,11185,11112,11701,11775,12000,1,-5.8
0,0,0,0,0,0,0,0,0
p Preliminary r Revised,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1Includes the following categories of private construction not shown separately:,0,0,0,0,0,0,0,0
"public safety, highway and street, sewage and waste disposal, water supply, and conservation and development.",0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2Includes private residential improvements.,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3Includes the following categories of public construction not shown separately:,0,0,0,0,0,0,0,0
"lodging, religious, communication, and manufacturing.",0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
"Data are at an annual rate, adjusted for seasonality but not price changes. Source: U.S. Census Bureau, Construction Spending, June 3, 2024.",0,0,0,0,0,0,0,0
Table 3 provides estimated measures of sampling variability. Additional information on the survey methodology may be found at,0,0,0,0,0,0,0,0
<www.census.gov/construction/c30/meth.html>,0,0,0,0,0,0,0,0
